,petroleum_product,sale,year
0,Petrol,283567,2014
1,Diesel,901393,2014
2,Kerosene,18628,2014
3,Aviation Turbine Fuel,139404,2014
4,Light Diesel Oil,0,2014
5,Furnace Oil,0,2014
6,LPG in MT,258299,2014
7,Mineral Turpentine Oil,0,2014
8,Petrol,251451,2013
9,Diesel,811100,2013
10,Kerosene,19064,2013
11,Aviation Turbine Fuel,123527,2013
12,Light Diesel Oil,0,2013
13,Furnace Oil,0,2013
14,LPG in MT,232660,2013
15,Mineral Turpentine Oil,0,2013
16,Petrol,221676,2012
17,Diesel,716747,2012
18,Kerosene,24721,2012
19,Aviation Turbine Fuel,115786,2012
20,Light Diesel Oil,258,2012
21,Furnace Oil,2450,2012
22,LPG in MT,207038,2012
23,Mineral Turpentine Oil,0,2012
24,Petrol,199749,2011
25,Diesel,648513,2011
26,Kerosene,41808,2011
27,Aviation Turbine Fuel,109808,2011
28,Light Diesel Oil,0,2011
29,Furnace Oil,435,2011
30,LPG in MT,181411,2011
31,Mineral Turpentine Oil,0,2011
32,Petrol,187641,2010
33,Diesel,655128,2010
34,Kerosene,49495,2010
35,Aviation Turbine Fuel,101314,2010
36,Light Diesel Oil,227,2010
37,Furnace Oil,1415,2010
38,LPG in MT,159286,2010
39,Mineral Turpentine Oil,0,2010
40,Petrol,162275,2009
41,Diesel,612505,2009
42,Kerosene,55788,2009
43,Aviation Turbine Fuel,82631,2009
44,Light Diesel Oil,238,2009
45,Furnace Oil,2589,2009
46,LPG in MT,141171,2009
47,Mineral Turpentine Oil,0,2009
48,Petrol,124169,2008
49,Diesel,446468,2008
50,Kerosene,70089,2008
51,Aviation Turbine Fuel,68935,2008
52,Light Diesel Oil,377,2008
53,Furnace Oil,2171,2008
54,LPG in MT,115813,2008
55,Mineral Turpentine Oil,0,2008
56,Petrol,100842,2007
57,Diesel,302706,2007
58,Kerosene,155216,2007
59,Aviation Turbine Fuel,68938,2007
60,Light Diesel Oil,306,2007
61,Furnace Oil,2919,2007
62,LPG in MT,96837,2007
63,Mineral Turpentine Oil,0,2007
64,Petrol,101912,2006
65,Diesel,306687,2006
66,Kerosene,197850,2006
67,Aviation Turbine Fuel,63778,2006
68,Light Diesel Oil,179,2006
69,Furnace Oil,4558,2006
70,LPG in MT,93562,2006
71,Mineral Turpentine Oil,0,2006
72,Petrol,80989,2005
73,Diesel,294329,2005
74,Kerosene,226637,2005
75,Aviation Turbine Fuel,64335,2005
76,Light Diesel Oil,290,2005
77,Furnace Oil,3695,2005
78,LPG in MT,81005,2005
79,Mineral Turpentine Oil,0,2005
80,Petrol,75989,2004
81,Diesel,315368,2004
82,Kerosene,239328,2004
83,Aviation Turbine Fuel,66825,2004
84,Light Diesel Oil,88,2004
85,Furnace Oil,2696,2004
86,LPG in MT,77594,2004
87,Mineral Turpentine Oil,0,2004
88,Petrol,67586,2003
89,Diesel,299730,2003
90,Kerosene,310826,2003
91,Aviation Turbine Fuel,64041,2003
92,Light Diesel Oil,577,2003
93,Furnace Oil,12653,2003
94,LPG in MT,66142,2003
95,Mineral Turpentine Oil,36,2003
96,Petrol,67457,2002
97,Diesel,299973,2002
98,Kerosene,348620,2002
99,Aviation Turbine Fuel,52839,2002
100,Light Diesel Oil,610,2002
101,Furnace Oil,14496,2002
102,LPG in MT,56079,2002
103,Mineral Turpentine Oil,48,2002
104,Petrol,63271,2001
105,Diesel,286233,2001
106,Kerosene,386592,2001
107,Aviation Turbine Fuel,47453,2001
108,Light Diesel Oil,2413,2001
109,Furnace Oil,18255,2001
110,LPG in MT,48757,2001
111,Mineral Turpentine Oil,120,2001
112,Petrol,59245,2000
113,Diesel,326060,2000
114,Kerosene,316381,2000
115,Aviation Turbine Fuel,63131,2000
116,Light Diesel Oil,3416,2000
117,Furnace Oil,20934,2000
118,LPG in MT,40102,2000
119,Mineral Turpentine Oil,132,2000
